"Y","X","numRealSurveysInCell"
1554,5918,1
1559,5918,1
1561,6176,1
1561,6178,1
1562,5909,1
1562,5918,1
1562,6176,2
1565,5914,1
1566,5920,1
1567,5902,1
1568,5852,1
1571,5901,1
1571,5933,1
1571,6150,1
1572,5832,1
1572,5922,1
1572,6146,1
1572,6147,1
1573,5847,1
1573,5880,1
1573,5891,1
1573,6146,1
1574,5837,1
1575,5838,1
1575,5926,1
1575,5933,1
1575,6148,1
1576,5829,1
1576,5921,1
1576,6148,1
1576,6149,1
1577,5854,1
1578,6199,1
1579,5834,1
1580,5953,1
1581,5821,1
1581,5823,1
1581,5860,1
1581,5924,1
1582,5818,1
1582,5839,1
1582,5903,1
1584,5825,1
1584,5932,1
1585,5823,1
1585,5829,1
1585,5945,1
1586,5845,1
1587,5817,1
1587,5851,1
1588,5817,1
1588,5854,1
1589,5823,1
1589,5828,1
1589,6068,1
1590,5816,1
1590,5944,1
1591,5917,1
1592,5827,1
1592,5842,1
1593,5842,1
1593,5897,1
1594,5816,1
1594,5836,1
1595,5820,1
1595,5825,1
1595,6073,1
1596,5830,1
1596,5857,1
1596,5936,1
1598,5816,1
1598,5846,1
1598,6059,1
1598,6090,1
1600,5891,1
1600,5909,1
1600,5923,1
1600,6104,1
1601,5818,1
1601,5857,1
1601,5928,1
1602,5852,1
1602,6042,1
1603,6052,1
1604,5862,1
1604,5918,1
1605,5815,1
1605,6040,1
1605,6044,1
1605,6049,1
1606,5906,1
1606,5916,1
1606,5927,1
1606,6095,1
1608,5889,1
1608,6053,1
1609,5867,1
1609,6066,1
1611,5909,1
1611,5918,1
1611,6054,1
1612,5880,1
1612,5886,1
1612,5915,1
1612,6076,1
1614,5912,1
1614,6047,1
1615,6062,1
1616,6050,1
1617,5914,1
1618,6042,1
1618,6054,1
1622,6158,2
1624,5921,1
1624,6078,1
1624,6084,1
1626,5987,1
1627,6171,1
1629,6049,1
1631,5820,1
1632,5812,1
1632,5826,1
1634,5833,1
1634,5987,1
1634,6043,1
1634,6176,1
1635,6099,1
1636,5838,1
1640,6181,1
1641,5983,1
1642,6033,1
1642,6046,1
1643,5970,1
1643,6104,1
1644,6055,1
1645,5862,1
1645,6177,1
1646,5870,1
1646,5991,1
1648,5978,1
1648,6012,1
1649,5988,1
1650,5813,1
1650,5818,1
1651,6090,1
1652,6167,1
1654,5995,1
1655,6072,1
1656,5978,1
1656,6058,1
1658,6003,1
1659,5986,1
1660,6058,1
1660,6187,1
1661,5822,1
1661,6104,1
1662,5813,1
1663,6185,2
1664,5978,1
1664,6000,1
1664,6184,1
1665,5824,1
1665,6059,1
1665,6184,1
1668,5809,1
1668,5821,1
1668,6101,1
1669,5987,1
1671,5828,1
1671,6095,1
1671,6135,1
1672,6002,1
1672,6009,1
1672,6109,1
1673,5991,1
1674,5820,1
1674,6138,1
1675,5815,1
1675,6144,1
1676,6129,1
1677,5808,1
1677,5981,1
1677,6045,1
1677,6133,1
1677,6141,1
1678,5803,1
1679,6066,1
1681,6142,1
1683,5805,1
1683,6057,1
1686,6130,1
1687,5807,1
1689,6142,1
1690,5984,1
1691,6078,1
1692,5802,1
1692,6139,1
1692,6155,1
1694,6149,1
1695,6134,1
1695,6140,1
1697,6163,1
1698,6146,1
1699,5813,1
1699,5992,1
1701,5801,1
1702,6138,1
1702,6163,1
1702,6166,1
1703,5807,1
1703,6139,1
1703,6201,1
1705,5839,1
1706,5815,1
1707,5846,1
1707,5863,1
1709,6239,1
1710,5819,1
1711,5853,1
1712,5848,1
1712,6242,1
1714,5825,1
1715,6054,1
1716,6253,1
1717,6181,1
1719,6175,1
1720,6172,1
1721,5847,1
1721,5871,1
1721,6228,1
1722,6055,1
1723,6072,1
1723,6078,1
1724,6225,1
1725,5844,1
1725,6223,1
1728,6084,1
1730,5849,1
1730,6043,1
1731,5863,1
1733,5855,1
1734,5973,1
1734,6131,1
1734,6208,1
1735,5974,1
1735,5977,1
1735,6208,1
1736,6009,1
1737,5978,2
1737,6038,1
1737,6210,1
1737,6213,1
1738,6136,1
1739,6087,1
1740,6206,1
1742,6032,1
1743,6017,1
1743,6121,1
1743,6143,1
1744,6060,1
1744,6142,1
1745,6054,1
1746,5979,1
1746,6088,1
1747,6067,1
1748,6077,1
1749,6060,1
1749,6121,1
1751,6022,1
1751,6027,1
1751,6043,1
1751,6142,1
1751,6143,1
